CustomerID,Cluster
C0001,0
C0002,3
C0003,0
C0004,0
C0005,3
C0006,0
C0007,3
C0008,4
C0009,2
C0010,2
C0011,0
C0012,0
C0013,0
C0014,2
C0015,1
C0016,1
C0017,4
C0018,1
C0019,2
C0020,1
C0021,4
C0022,4
C0023,2
C0024,1
C0025,3
C0026,1
C0027,3
C0028,4
C0029,1
C0030,1
C0031,3
C0032,3
C0033,1
C0034,1
C0035,1
C0036,1
C0037,2
C0038,1
C0039,0
C0040,3
C0041,4
C0042,1
C0043,3
C0044,2
C0045,4
C0046,4
C0047,1
C0048,0
C0049,1
C0050,1
C0051,2
C0052,3
C0053,2
C0054,4
C0055,1
C0056,3
C0057,2
C0058,1
C0059,4
C0060,2
C0061,2
C0062,2
C0063,2
C0064,2
C0065,4
C0066,2
C0067,1
C0068,4
C0069,2
C0070,2
C0071,3
C0072,1
C0073,2
C0074,2
C0075,4
C0076,3
C0077,3
C0078,3
C0079,1
C0080,3
C0081,2
C0082,0
C0083,3
C0084,4
C0085,3
C0086,2
C0087,0
C0088,3
C0089,2
C0090,4
C0091,0
C0092,3
C0093,4
C0094,1
C0095,3
C0096,0
C0097,3
C0098,1
C0099,0
C0100,2
C0101,4
C0102,0
C0103,2
C0104,0
C0105,2
C0106,3
C0107,0
C0108,0
C0109,4
C0110,3
C0111,2
C0112,3
C0113,0
C0114,2
C0115,3
C0116,1
C0117,1
C0118,0
C0119,2
C0120,3
C0121,2
C0122,1
C0123,3
C0124,2
C0125,1
C0126,0
C0127,2
C0128,3
C0129,3
C0130,3
C0131,1
C0132,2
C0133,0
C0134,3
C0135,2
C0136,4
C0137,0
C0138,4
C0139,1
C0140,3
C0141,4
C0142,3
C0143,4
C0144,1
C0145,4
C0146,3
C0147,0
C0148,0
C0149,2
C0150,3
C0151,3
C0152,0
C0153,0
C0154,1
C0155,0
C0156,4
C0157,1
C0158,0
C0159,3
C0160,1
C0161,4
C0162,4
C0163,0
C0164,2
C0165,4
C0166,2
C0167,2
C0168,0
C0169,0
C0170,2
C0171,0
C0172,2
C0173,4
C0174,0
C0175,4
C0176,1
C0177,3
C0178,3
C0179,2
C0181,0
C0182,2
C0183,1
C0184,0
C0185,1
C0186,3
C0187,0
C0188,0
C0189,1
C0190,0
C0191,0
C0192,3
C0193,3
C0194,1
C0195,0
C0196,2
C0197,2
C0198,2
C0199,2
C0200,4
