cust_id,lookalikes
C0001,"[('C0048', 0.9476446400065361), ('C0190', 0.9463091645911628), ('C0091', 0.9350889771979178)]"
C0002,"[('C0159', 0.9697392503930222), ('C0134', 0.9693487961033285), ('C0106', 0.9667516066308047)]"
C0003,"[('C0031', 0.9922769612692501), ('C0158', 0.9858893449491826), ('C0195', 0.9752800897451486)]"
C0004,"[('C0113', 0.9827773547021317), ('C0012', 0.9676851400094926), ('C0148', 0.9617922474722147)]"
C0005,"[('C0007', 0.9984341247972212), ('C0146', 0.9591342578951225), ('C0140', 0.9547968190749404)]"
C0006,"[('C0187', 0.9598077946885955), ('C0147', 0.9467194259520245), ('C0169', 0.9325264158457018)]"
C0007,"[('C0005', 0.9984341247972212), ('C0146', 0.9612931674191273), ('C0140', 0.9515363582869149)]"
C0008,"[('C0059', 0.97272471972055), ('C0122', 0.9492820435600389), ('C0154', 0.9490191499616938)]"
C0009,"[('C0198', 0.9486763235447123), ('C0061', 0.8798470823856633), ('C0010', 0.858939483944016)]"
C0010,"[('C0061', 0.9657952398404746), ('C0111', 0.8589781220058901), ('C0009', 0.858939483944016)]"
C0011,"[('C0126', 0.9904730169553453), ('C0153', 0.9518102690365021), ('C0191', 0.9424353738739599)]"
C0012,"[('C0104', 0.988601064458055), ('C0113', 0.9678353082087092), ('C0004', 0.9676851400094926)]"
C0013,"[('C0107', 0.9658969628896183), ('C0188', 0.9472425043219933), ('C0102', 0.9469666607670555)]"
C0014,"[('C0060', 0.9997514761460436), ('C0089', 0.9134718415652727), ('C0167', 0.8258303411498714)]"
C0015,"[('C0131', 0.9566299092619314), ('C0036', 0.9308036274634359), ('C0185', 0.912100670094274)]"
C0016,"[('C0183', 0.9984406867153913), ('C0029', 0.9554677867267103), ('C0072', 0.9519063961567517)]"
C0017,"[('C0041', 0.9841693976075383), ('C0075', 0.9825368003101563), ('C0057', 0.9672439467375462)]"
C0018,"[('C0122', 0.9540698168467479), ('C0035', 0.9456098930159481), ('C0194', 0.945350772109038)]"
C0019,"[('C0070', 0.9806713245525178), ('C0023', 0.9347347103665952), ('C0064', 0.9103248080507295)]"
C0020,"[('C0050', 0.884017998819786), ('C0033', 0.8202189236398466), ('C0058', 0.8201885719662636)]"
